id,name_ja,name_en,category_en,fling_power,effect_en
1,マスターボール,master-ball,standard-balls,,Catches a wild Pokémon every time.
2,ハイパーボール,ultra-ball,standard-balls,,Tries to catch a wild Pokémon.  Success rate is 2×.
3,スーパーボール,great-ball,standard-balls,,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,モンスターボール,poke-ball,standard-balls,,Tries to catch a wild Pokémon.
5,サファリボール,safari-ball,standard-balls,,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,ネットボール,net-ball,special-balls,,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,ダイブボール,dive-ball,special-balls,,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,ネストボール,nest-ball,special-balls,,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,リピートボール,repeat-ball,special-balls,,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,タイマーボール,timer-ball,special-balls,,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,ゴージャスボール,luxury-ball,special-balls,,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,プレミアボール,premier-ball,special-balls,,Tries to catch a wild Pokémon.
13,ダークボール,dusk-ball,special-balls,,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,ヒールボール,heal-ball,special-balls,,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,クイックボール,quick-ball,special-balls,,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,プレシャスボール,cherish-ball,special-balls,,Tries to catch a wild Pokémon.
17,キズぐすり,potion,healing,30,Restores 20 HP.
18,どくけし,antidote,status-cures,30,Cures poison.
19,やけどなおし,burn-heal,status-cures,30,Cures a burn.
20,こおりなおし,ice-heal,status-cures,30,Cures freezing.
21,ねむけざまし,awakening,status-cures,30,Cures sleep.
22,まひなおし,paralyze-heal,status-cures,30,Cures paralysis.
23,かいふくのくすり,full-restore,healing,30,Restores HP to full and cures any status ailment and confusion.
24,まんたんのくすり,max-potion,healing,30,Restores HP to full.
25,すごいキズぐすり,hyper-potion,healing,30,Restores 200 HP.
26,いいキズぐすり,super-potion,healing,30,Restores 50 HP.
27,なんでもなおし,full-heal,status-cures,30,Cures any status ailment and confusion.
28,げんきのかけら,revive,revival,30,Revives with half HP.
29,げんきのかたまり,max-revive,revival,30,Revives with full HP.
30,おいしいみず,fresh-water,healing,30,Restores 50 HP.
31,サイコソーダ,soda-pop,healing,30,Restores 60 HP.
32,ミックスオレ,lemonade,healing,30,Restores 80 HP.
33,モーモーミルク,moomoo-milk,healing,30,Restores 100 HP.
34,ちからのこな,energy-powder,healing,30,"Restores 50 HP, but lowers happiness."
35,ちからのねっこ,energy-root,healing,30,"Restores 200 HP, but lowers happiness."
36,ばんのうごな,heal-powder,status-cures,30,"Cures any status ailment, but lowers happiness."
37,ふっかつそう,revival-herb,revival,30,"Revives with full HP, but lowers happiness."
38,ピーピーエイド,ether,pp-recovery,30,Restores 10 PP for one move.
39,ピーピーリカバー,max-ether,pp-recovery,30,Restores PP to full for one move.
40,ピーピーエイダー,elixir,pp-recovery,30,Restores 10 PP for each move.
41,ピーピーマックス,max-elixir,pp-recovery,30,Restores PP to full for each move.
42,フエンせんべい,lava-cookie,status-cures,30,Cures any status ailment and confusion.
43,きのみジュース,berry-juice,healing,30,Restores 20 HP.
44,せいなるはい,sacred-ash,revival,30,Revives all fainted Pokémon with full HP.
45,マックスアップ,hp-up,vitamins,30,Raises HP effort and happiness.
46,タウリン,protein,vitamins,30,Raises Attack effort and happiness.
47,ブロムヘキシン,iron,vitamins,30,Raises Defense effort and happiness.
48,インドメタシン,carbos,vitamins,30,Raises Speed effort and happiness.
49,リゾチウム,calcium,vitamins,30,Raises Special Attack effort and happiness.
50,ふしぎなアメ,rare-candy,vitamins,30,Causes a level-up and raises happiness.
51,ポイントアップ,pp-up,vitamins,30,Raises a move’s max PP by 20%.
52,キトサン,zinc,vitamins,30,Raises Special Defense and happiness.
53,ポイントマックス,pp-max,vitamins,30,Raises a move’s max PP by 60%.
54,もりのヨウカン,old-gateau,status-cures,30,Cures any status ailment and confusion.
55,エフェクトガード,guard-spec,stat-boosts,30,Prevents stat changes in battle for five turns in battle.  Raises happiness.
56,クリティカット,dire-hit,stat-boosts,30,Increases the chance of a critical hit in battle.  Raises happiness.
57,プラスパワー,x-attack,stat-boosts,30,Raises Attack by one stage in battle.  Raises happiness.
