id,name_ja,name_en,type_ja,category_ja,power,accuracy,pp,priority,generation,effect_en,contact,punch,sound,bullet,pulse,slicing,wind,bite,powder,heal,protect,reflectable,mirror
1,はたく,pound,ノーマル,ぶつり,40,100,35,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
2,からてチョップ,karate-chop,かくとう,ぶつり,50,100,25,0,第一世代,Has an increased chance for a critical hit.,1,0,0,0,0,0,0,0,0,0,1,0,1
3,おうふくビンタ,double-slap,ノーマル,ぶつり,15,85,10,0,第一世代,Hits 2-5 times in one turn.,1,0,0,0,0,0,0,0,0,0,1,0,1
4,れんぞくパンチ,comet-punch,ノーマル,ぶつり,18,85,15,0,第一世代,Hits 2-5 times in one turn.,1,1,0,0,0,0,0,0,0,0,1,0,1
5,メガトンパンチ,mega-punch,ノーマル,ぶつり,80,85,20,0,第一世代,Inflicts regular damage with no additional effect.,1,1,0,0,0,0,0,0,0,0,1,0,1
6,ネコにこばん,pay-day,ノーマル,ぶつり,40,100,20,0,第一世代,Scatters money on the ground worth five times the user’s level.,0,0,0,0,0,0,0,0,0,0,1,0,1
7,ほのおのパンチ,fire-punch,ほのお,ぶつり,75,100,15,0,第一世代,Has a chance to burn the target.,1,1,0,0,0,0,0,0,0,0,1,0,1
8,れいとうパンチ,ice-punch,こおり,ぶつり,75,100,15,0,第一世代,Has a chance to freeze the target.,1,1,0,0,0,0,0,0,0,0,1,0,1
9,かみなりパンチ,thunder-punch,でんき,ぶつり,75,100,15,0,第一世代,Has a chance to paralyze the target.,1,1,0,0,0,0,0,0,0,0,1,0,1
10,ひっかく,scratch,ノーマル,ぶつり,40,100,35,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
11,はさむ,vice-grip,ノーマル,ぶつり,55,100,30,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
12,ハサミギロチン,guillotine,ノーマル,ぶつり,,30,5,0,第一世代,Causes a one-hit KO.,1,0,0,0,0,0,0,0,0,0,1,0,1
13,かまいたち,razor-wind,ノーマル,とくしゅ,80,100,10,0,第一世代,Requires a turn to charge before attacking.,0,0,0,0,0,0,0,0,0,0,1,0,1
14,つるぎのまい,swords-dance,ノーマル,へんか,,,20,0,第一世代,Raises the user’s Attack by two stages.,0,0,0,0,0,0,0,0,0,0,0,0,0
15,いあいぎり,cut,ノーマル,ぶつり,50,95,30,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,1,0,0,0,0,1,0,1
16,かぜおこし,gust,ひこう,とくしゅ,40,100,35,0,第一世代,Inflicts regular damage and can hit Pokémon in the air.,0,0,0,0,0,0,1,0,0,0,1,0,1
17,つばさでうつ,wing-attack,ひこう,ぶつり,60,100,35,0,第一世代,Inflicts regular damage with no additional effect.,1,0,0,0,0,0,0,0,0,0,1,0,1
18,ふきとばし,whirlwind,ノーマル,へんか,,,20,-6,第一世代,Immediately ends wild battles.  Forces trainers to switch Pokémon.,0,0,0,0,0,0,1,0,0,0,0,1,1
19,そらをとぶ,fly,ひこう,ぶつり,90,95,15,0,第一世代,"User flies high into the air, dodging all attacks, and hits next turn.",1,0,0,0,0,0,0,0,0,0,1,0,1
20,しめつける,bind,ノーマル,ぶつり,15,85,20,0,第一世代,Prevents the target from fleeing and inflicts damage for 2-5 turns.,1,0,0,0,0,0,0,0,0,0,1,0,1
