id,name_ja,name_en,dex_no,generation,type1_ja,type2_ja,hp,attack,defense,sp_attack,sp_defense,speed,base_total,ability1_ja,ability2_ja,hidden_ability_ja,height_m,weight_kg,is_legendary,is_mythical
1,フシギダネ,bulbasaur,1,第一世代,くさ,どく,45,49,49,65,65,45,318,しんりょく,,ようりょくそ,0.7,6.9,False,False
2,フシギソウ,ivysaur,2,第一世代,くさ,どく,60,62,63,80,80,60,405,しんりょく,,ようりょくそ,1.0,13.0,False,False
3,フシギバナ,venusaur,3,第一世代,くさ,どく,80,82,83,100,100,80,525,しんりょく,,ようりょくそ,2.0,100.0,False,False
4,ヒトカゲ,charmander,4,第一世代,ほのお,,39,52,43,60,50,65,309,もうか,,サンパワー,0.6,8.5,False,False
5,リザード,charmeleon,5,第一世代,ほのお,,58,64,58,80,65,80,405,もうか,,サンパワー,1.1,19.0,False,False
6,リザードン,charizard,6,第一世代,ほのお,ひこう,78,84,78,109,85,100,534,もうか,,サンパワー,1.7,90.5,False,False
7,ゼニガメ,squirtle,7,第一世代,みず,,44,48,65,50,64,43,314,げきりゅう,,あめうけざら,0.5,9.0,False,False
8,カメール,wartortle,8,第一世代,みず,,59,63,80,65,80,58,405,げきりゅう,,あめうけざら,1.0,22.5,False,False
9,カメックス,blastoise,9,第一世代,みず,,79,83,100,85,105,78,530,げきりゅう,,あめうけざら,1.6,85.5,False,False
10,キャタピー,caterpie,10,第一世代,むし,,45,30,35,20,20,45,195,りんぷん,,にげあし,0.3,2.9,False,False
11,トランセル,metapod,11,第一世代,むし,,50,20,55,25,25,30,205,だっぴ,,,0.7,9.9,False,False
12,バタフリー,butterfree,12,第一世代,むし,ひこう,60,45,50,90,80,70,395,ふくがん,,いろめがね,1.1,32.0,False,False
13,ビードル,weedle,13,第一世代,むし,どく,40,35,30,20,20,50,195,りんぷん,,にげあし,0.3,3.2,False,False
14,コクーン,kakuna,14,第一世代,むし,どく,45,25,50,25,25,35,205,だっぴ,,,0.6,10.0,False,False
